Name	Team	Score	anstoss	prec	dist	trickshot	time	images
Mathis2	ISEM2	16238	15	[432, 432, 432]	[5668, 1061, 14718]	1	2025-06-11_13:31:17	['no images']
Bodo	M11	9122	13	[397, 197, 202]	[4441, 4723, 5077]	1	2025-06-11_16:07:29	['no images']
Mathis	ISEM	9091	2	[19, 328, 276]	[7876, 7347, 5750]	1	2025-06-11_14:32:38	['no images']
Mathis	ISEM2	7573	15	[431, 121, 121]	[1388, 1388, 1388]	1	2025-06-11_13:43:01	['no images']
Moritz	ISEM	7331	15	[432, 432, 432]	[2781, 1351, 5811]	1	2025-06-10_15:27:29	['no images']
Moritz	ISEM	7331	15	[432, 432, 432]	[2781, 1351, 5811]	1	2025-06-10_15:29:00	['no images']
Mathis	ISEM2	6780	15	[170, 170, 170]	[1330, 1330, 1330]	1	2025-06-11_13:41:34	['no images']
Moritz	ISEM	6099	0	[125, 220, 146]	[7355, 7474, 6524]	1	2025-06-11_14:13:45	['no images']
Mathis	ISEM2	5705	15	[432, 432, 431]	[1097, 3119, 4170]	1	2025-06-11_13:39:02	['no images']
Kriegesmann	antiISEM	4936	1	[116, 506, 138]	[4481, 5676, 4703]	1	2025-06-11_17:26:08	['no images']
Kern	Mechonics	872	0	[310, 316, 515]	[5022, 4838, 3271]	1	2025-06-11_16:20:00	['no images']
